latitude,longitude,rwi,error
4.2039864,101.8103027,-0.458,0.540
2.4711573,103.8317871,0.489,0.539
4.0286586,113.8073730,-0.230,0.488
5.3425828,119.2126465,0.085,0.541
4.1601581,101.3269043,0.159,0.540
5.4738318,117.8503418,-0.441,0.469
3.3489215,102.4255371,0.135,0.497
1.4170918,103.4582520,0.428,0.505
3.7655967,103.3044434,0.513,0.569
3.5024552,102.2277832,0.218,0.541
2.5370123,102.8430176,0.107,0.504
2.2955282,111.9616699,0.353,0.532
3.1295462,113.1262207,-0.129,0.568
5.4300853,117.8723145,-0.373,0.511
5.5175751,116.2463379,-0.421,0.524
6.3262180,116.3781738,0.144,0.498
5.6269192,117.8063965,-0.993,0.537
4.7078283,103.3044434,-0.644,0.633
1.3511931,103.4582520,0.744,0.522
2.9101249,101.9641113,-0.697,0.544
3.5463174,102.2277832,0.022,0.523
4.9486696,115.6750488,-0.697,0.531
5.3644596,115.7189941,0.207,0.543
1.2413579,110.4675293,-0.383,0.504
2.7126091,111.9177246,0.484,0.528
2.5809138,112.5549316,-0.026,0.496
4.2258996,101.3708496,-0.543,0.515
3.6340356,113.3679199,-0.165,0.582
4.5545219,101.0412598,1.079,0.500
6.4135660,117.1472168,-0.467,0.420
5.6706511,100.6237793,0.413,0.558
5.6925158,100.3601074,0.515,0.566
2.9101249,112.3132324,0.260,0.535
5.2988268,100.2502441,0.994,0.515
5.9766803,116.3562012,-0.416,0.514
1.4829887,103.9636230,0.809,0.577
5.4738318,115.4992676,-0.434,0.506
1.6806671,110.4675293,-0.052,0.522
2.2516175,103.3703613,-0.224,0.511
2.0540032,102.6452637,0.833,0.569
2.4272521,102.8869629,-0.077,0.532
2.1637921,103.0847168,-0.607,0.506
2.6467632,102.6452637,-0.127,0.499
2.7784514,101.5686035,0.202,0.531
3.0856655,101.5026855,0.907,0.496
2.4272521,112.1154785,0.097,0.496
5.6269192,101.8762207,-0.183,0.575
3.9190595,102.0080566,-0.020,0.529
5.3207052,118.9709473,-0.879,0.454
6.1077838,116.0925293,-0.101,0.561
5.5613152,102.7331543,0.127,0.513
1.6367402,104.0515137,0.651,0.527
5.8674033,100.6237793,0.004,0.608
4.9486696,103.1726074,0.562,0.527
4.9486696,115.9387207,-0.342,0.507
1.6367402,109.7424316,-0.222,0.512
5.1894234,119.2126465,-0.016,0.563
5.2550677,118.2897949,-0.196,0.540
3.8313699,101.4147949,1.065,0.535
4.4449973,118.5314941,-0.271,0.528
3.0198411,113.3459473,-0.305,0.414
